,Query,Answer,Label
229,"Но возможно, ты скажешь, что он не согласуется с нашим государственным устройством, потому что у нас человек не может быть ни двойственным, ни множественным, раз каждый делает что-то одно.","Да, скажу, что не согласуется.",1
230,"Если же человек, обладающий умением перевоплощаться и подражать чему угодно, сам прибудет в наше государство, желая показать нам свои творения, мы преклонимся перед ним как перед чем-то священным, удивительным и приятным, но скажем, что такого человека у нас в государстве не существует и что недозволено здесь таким становиться, да и отошлем его в другое государство, умастив ему главу благовониями и увенчав шерстяной повязкой, а сами удовольствуемся, по соображениям пользы, более суровым, хотя бы и менее приятным поэтом и творцом сказаний, который подражал бы у нас способу выражения человека порядочного и то, о чем он говорит, излагал бы согласно образцам, установленным нами вначале, когда мы разубирали воспитание воинов.","Мы, конечно, поступили бы так, если бы это от нас зависело.",1
231,"Теперь, друг мой, у нас, пожалуй, уже полностью","авершено обсуждение той части мусического искусства, которая касается сочинительства и сказаний:",1
232,"ыяснено, о чем надо говорить и как надо говорить.",Мне тоже так кажется.,1
233,"Посмотри, не это ли портит всех остальных мастеров, так что они становятся плохими...",Что ты имеешь в виду?,1
234,"Значит, он станет худшим горшечником?","И это, конечно, так.",1
235,"Так, по-видимому, мы нашли для наших стражей еще что-то такое, чего надо всячески остерегаться, — как бы оно не проникло в государство незаметным для стражей образом.",Что же это такое?,1
236,"Богатство и бедность. Одно ведет к роскоши, лени, новшествам, другая кроме новшеств — к низостям и злодеяниям.","Конечно. Однако, Сократ, взвесь и это: как наше государство будет в силах воевать, если оно не располагает денежными средствами, в особенности если оно будет вынуждено вести войну с большим и богатым государством?",1
237,"Так что же, Адимант? Разве тебе не кажется, что одному кулачному бойцу, превосходно подготовленному, будет легко биться с двумя не обученными этому делу, богатыми и тучными людьми?","Но пожалуй, не с обоими зараз.",1
238,"Нет, именно так: от него зависело бы отбежать, затем, обернувшись, ударить первого, кто к нему с приблизится. А если он почаще повторит этот прием, да еще на солнце, в удушливый зной? Разве такой боец не одолеет и большее число подобных противников?","Спору нет, удивляться этому не приходится.",1
239,"Значит, наши знатоки военного дела, естественно, способны сражаться с двойным и даже тройным числом противников.","Уступаю тебе: по-моему, ты говоришь правильно.",1
240,"Далее. Если они пошлют посольство в другое государство и скажут правду, то есть: ""Мы вовсе не пользуемся ни золотом, ни серебром — нам это не дозволено, но ведь вам-то можно: значит, если вы будете вести войну в союзе с нами, вам обеспечена наша доля добычи"", — думаешь ли ты, что в ответ кто-нибудь предпочтет выступить против крепких, поджарых собак, а не скорее вместе с ними — против тучных ц мягкотелых овец?","Думаю, что не предпочтет. Ну а если и богатства остальных государств сосредоточатся в одном из них, смотри, не будет ли это опасно для государства, не имеющего богатства?",1
241,"Стало быть, как раз это и служило бы нашим правителям пределом для необходимой величины устраиваемого ими государства; и соответственно его размерам они и определят ему количество земли, не посягая на большее.",О каком пределе ты говоришь?,1
242,"Стало быть, мы дадим нашим стражам еще и такое задание: всячески следить за тем, чтобы наше государство было не слишком малым, но и не мнимо большим — оно должно быть достаточным и единым.",Легкую же мы им задали задачу!,1
243,"А еще легче будет им то, о чем мы уже упоминали, говоря, что потомство стражей, если оно неудачно уродилось, надо переводить в другие сословия, а значительных людей остальных сословий — в число стражей. Этим мы хотели показать, что и каждого из остальных граждан надо ставить на то одно ' дело, н которому у него есть способности, чтобы, занимаясь лишь тем делом, которое ему присуще, каждый представлял бы собою единство, а не множество: так и все государство в целом станет единым, а не множественным.",Эта задача проще той.,1
244,"Кто-нибудь, возможно, найдет, дорогой мой Адимант, что все наши требования слишком многочисленны и высоки для стражей. Между тем всё это пустяки, если они будут стоять, как говорится, на страже одного лишь великого дела, или, скорее, не великого, а достаточного.",А что это за дело?,1
245,"Обучение и воспитание. Если путем хорошего обучения стражи станут умеренными людьми, они и сами без труда разберутся в этом, а так же и во всем том, что мы сейчас опускаем, например: подыскание себе жены и брак, а также деторождение. Ведь все это надо согласовать с пословицей: ""У друзей все общее"".",Это было бы вполне правильно.,1
246,"И во всем, что считается мелочами, они найдут нормы поведения; между тем это умение совершенно утрачено теми, о ком мы упоминали сначала.",Какие же это нормы?,1
247,"Но скажи, ради богов, отважимся ли мы устанавливать какие-либо законы, касающиеся рынка, то есть насчет тех сделок, которые там заключаются, а д если угодно, то и насчет отношений между ремесленниками, перебранок, драк, предъявления исков, назначения судей? А тут еще понадобится взыскивать и определять налоги то на рынке, то в гавани — словом, вообще касаться рыночных, городских, портовых и тому подобных дел.","Не стоит нам давать предписания тем, кто получил безупречное воспитание: в большинстве случаев они сами без труда поймут, какие здесь требуются законы.",1
248,"Да, мой друг, это так, если бог им даст сохранить в целости те законы, которые мы разбирали раньше.","А если нет, вся их жизнь пройдет в том, что они вечно будут устанавливать множество разных законов и вносить в них поправки в расчете, что таким образом достигнут совершенства.",1
249,"Забавное же у них будет времяпрепровождение: лечась, они добиваются только того, что делают свои недуги разнообразнее и сильнее, но все время надеются выздороветь, когда кто присоветует им новое лекарство.","Действительно, состояние подобных больных именно такое.",1
250,"Далее. Разве не забавно у них еще вот что: своим злейшим врагом считают они того, кто говорит им правду, а именно, что, пока они не перестанут пьянствовать, наедаться, предаваться любовным утехам и праздности, им нисколько не помогут ни лекарства, ни прижигания, ни разрезы, а также заговоры, амулеты и тому подобное.","Но это не слишком забавно: что уж забавного в том, когда верные указания вызывают гнев?",1
251,"Следовательно, ты не воздашь хвалы и государству, которое все целиком, как мы недавно говорили, занимается чем-то подобным. Или тебе не кажется, что то же самое происходит в плохо управляемых государствах, где гражданам запрещается изменять государственное устройство в целом и такие попытки караются смертной казнью? А кто старается быть приятным и угождает гражданам, находящимся под таким управлением, лебезит перед ними, предупреждает их желания и горазд их исполнять, тот, выходит, будет хорошим человеком, мудрым в важнейших делах, и граждане будут оказывать ему почести.","По-моему, такое государство поступает подобно больным, о которых ты говорил, а этого я никак не могу одобрить.",1
252,"И тебя не восхищает смелость и ловкость тех, то с полной готовностью усердно служит таким государствам?","Восхищает, но я делаю исключение для тех, кто обманывается на счет таких государств и воображает себя подлинным государственным деятелем, оттого что ею восхваляет толпа.",1
253,"Так не сердись на них. И верно, такие законодатели всего забавнее: они, как мы только что говорили, все время вносят поправки в свои законы, думая положить предел злоупотреблениям в делах, но, как я сейчас заметил, не отдают себе отчета, что на самом-то деле уподобляются людям, рассекающим гидру.","Это верно, ничего другого они и не делают.",1
254,"Далее, сын Аристона, допустим, что государство у тебя уже основано. После этого, взяв какой-нибудь достаточно яркий светильник, посмотри сам — да пригласи и своего брата, а также Полемарха и всех остальных, — не удастся ли нам разглядеть, где там кроется справедливость, а где несправедливость, в чем между ними различие и которой из них надо обладать человеку, чтобы быть счастливым, все равно, утаится ли он от всех богов и людей или нет.","Вздор, ты ведь сам обещал произвести такое исследование, считая, что с твоей стороны было бы неблагочестиво не прийти на помощь справедливости по мере твоих сил, любым способом.",1
255,"Значит, при наличии того, что мы в нем обнаружим, ненайденным будет лишь то, что останется?",Что ты имеешь в виду?,1
256,Так неужели же благодаря знанию плотничьего искусства государство следует назвать мудрым и принимающим здравые решения?,"Вовсе не из-за этого, иначе его следовало бы назвать плотницким.",1
257,Что же? За медные и другие такие же изделия?,Все это тут ни при чем.,1
258,Какое же и у кого?,"Это искусство быть всегда на страже: им обладают те правители, которых мы недавно назвали совершенными стражами.",1
259,"Раз есть такое знание, то что ты скажешь о нашем государстве?","В нем осуществляются здравые решения, и оно отличается подлинной мудростью.",1
260,"Вот мы и нашли, уж и не знаю каким это образом, одно из четырех свойств нашего государства — и как таковое, и место его в государстве.","Мне по крайней мере кажется, что мы его достаточно разъяснили.",1
261,"Называя государство робким или мужественным, кто же обратит внимание на что-нибудь иное, кроме той части его граждан, которые воюют и сражаются за него?",Ни один человек не станет смотреть ни на что иное.,1
262,"Мужественным государство бывает лишь благодаря какой-то одной своей части — благодаря тому, что в этой своей части оно обладает силой, постоянно сохраняющей то мнение об опасностях — а именно, что они заключаются в том-то и том-то, — которое внушил ей законодатель путем воспитания. Разве не это называешь ты мужеством?","Я не совсем понял, о чем ты говоришь. Повтори, пожалуйста.",1
263,"Как ты знаешь, красильщики, желая окрасить шерсть в пурпурный цвет, сперва выбирают из большого числа оттенков шерсти одну только белую краску, затем старательно, разными приемами подготавливают ее к тому, чтобы она получше приняла е пурпурный цвет, и наконец красят. Выкрашенная таким образом шерсть уже не линяет, и стирка, будь то со щелочью или без, не влияет на цвет. В противном случае, ты сам знаешь, что бывает, если красят — все равно, в этот ли цвет или в другой — без предварительной подготовки.","Знаю, как непрочна тогда окраска и как смешно она выглядит.",1
264,"Так вот учти, что нечто подобное делаем и мы по мере сил, когда выбираем воинов и воспитываем их при помощи мусического искусства и гимнастики. Мы не преследуем ничего другого, кроме того, чтобы они по возможности лучше и убежденнее восприняли законы — словно окраску: их мнение об опасностях и обо всем остальном станет прочным благодаря их природным задаткам и полученному ими соответствующему воспитанию, и эту окраску нельзя будет смыть , никакими сильными щелочами — ни удовольствием, которое действует сильнее халестрииского поташа и золы, ни скорбью, ни страхом, ни страстью, вообще ничем из подобных едких средств. Вот подобного рода силу и постоянное сохранение правильного и законного мнения о том, что опасно, а что нет, я называю и считаю мужеством, если ты не возражаешь.","Я нисколько не возражаю, потому что, мне кажется, то мнение об этом предмете, которое, хотя оно н правильно, возникло помимо воспитания, как это замечается у животных и у рабов, ты не считаешь законным и называешь как-то иначе, только не мужеством.",1
265,Сущая правда.,"Стало быть, я согласен с твоим пониманием мужества.",1
266,"Как бы это нам раньше найти, что такое справедливость, и уж больше не возиться с рассудительностью.","Я лично не знаю, но мне не хотелось бы выяснять, что такое справедливость, прежде чем мы рассмотрим рассудительность. Если хочешь сделать мне приятное, рассмотри сперва ее.",1
267,"Но мне кажется, этим выражением желают сказать, что в самом человеке, в его душе есть некая лунная часть и некая худшая, и, когда то, что по своей природе лучше, обуздывает худшее, тогда говорят, 'по оно ""преодолевает самое себя"": значит, это похвала; когда же из-за дурного воспитания или общества верх берет худшее (ведь его такая уйма, а лучшего гораздо меньше), тогда, в порицание и с упреком, называют это ""уступкой самому себе"", а человека, испытывающего такое состояние, — невоздержным.",Обычно так и говорят.,1
268,"Посмотри теперь на наше новое государство и ты найдешь в нем одно из этих двух состояний: ты скажешь, что такое государство справедливо можно объявить преодолевшим самого себя, поскольку нужно называть рассудительным и преодолевшим самого себя все то, в чем лучшее правит худшим.","Я смотрю и вижу, что ты прав.",1
269,"И опять-таки, если уж в каком-нибудь государстве и у правителей, и у подвластных существует e согласное мнение о том, кому следует править, то оно есть и в нашем государстве. Или ты не согласен?",Вполне и бесспорно согласен.,1
270,"Раз дело обстоит так, то кому из них присуща, скажешь ты, рассудительность — правителям или подвластным?",Вроде бы тем и другим.,1
271,"Это не так, как с мужеством или мудростью: те, присутствуя в какой-либо одной части государства, делают все государство соответственно либо мужественным, либо мудрым; рассудительность же не так проявляется в государстве: она настраивает на свой лад решительно всё целиком; пользуясь всеми своими струнами, она заставляет и те, что слабо натянуты, и те, что сильно, и средние звучать согласно между собою, если угодно, с помощью разума, а то и силой или, наконец, числом и богатством и всем тому подобным, так что мы с полным правом могли бы сказать, что эта вот согласованность и есть рассудительность, иначе говоря, естественное созвучие худшего и лучшего в вопросе о том, чему надлежит править и в государстве, и в каждом отдельном человеке.",Я вполне того же мнения.,1
272,"Теперь, Главкон, нам нужно, словно охотникам, выстроиться вокруг этой чащи и внимательно следить, чтобы от нас не удрала справедливость, а то она .ускользнет, и опять все будет неясно. Ведь она явно прячется где-то здесь: ты гляди и старайся ее заметить, а если увидишь первым, укажи и мне.","Если б я только мог! Скорей уж следовать за тобой, рассматривая, что мне укажут, — вот на что я тебе гораздо больше гожусь.",1
273,"Так следуй, помолившись вместе со мною.","Я так и сделаю, а ты веди меня.",1
274,"Так слушай и суди сам. Мы еще вначале, когда основывали государство, установили, что делать это надо непременно во имя целого. Так вот это целое и есть справедливость или какая-то ее разновидность. Мы установили, что каждый отдельный человек должен заниматься чем-нибудь одним из того, что нужно в государстве, и притом как раз тем, к чему он по своим природным задаткам больше всего способен.","Да, мы говорили так.",1
275,"Однако если бы требовалось решить, присутствие какого из этих свойств всего более делает наше государство совершенным, это было бы трудной задачей: будет ли это единство мнений у правителей и подвластных, или присутствие у воинов и сохранение ими соответствующего законам мнения о том, что опасно, а что нет, или, наконец, присущая правителям разумность и бдительность? Или же всего более способствует совершенству нашего государства то, что присуще там и ребенку, и женщине, и рабу, и свободному, и ремесленнику, и правителю, и подвластному, а именно: каждый делает свое, не разбрасываясь и не вмешиваясь в посторонние дела?","Это, конечно, трудно решить.",1
276,"А при судебном разбирательстве разве усилия их будут направлены больше на что-нибудь иное, а не на то, чтобы никто не захватывал чужого и не лишался своего?","Нет, именно на это.",1
277,"Значит, вот это и есть несправедливость. И давай скажем еще раз: в противоположность ей справедливостью будет — и сделает справедливым государство — преданность своему делу у всех сословий — дельцов, помощников и стражей, причем каждое из них будет выполнять то, что ему свойственно.","Дело обстоит, как мне кажется, именно таким образом.",1
278,"Пока мы не станем утверждать этого слишком решительно, но если идея эта подойдет и к каждому отдельному человеку и подтвердится, что и там осуществляется справедливость, тогда уж мы согласимся, потому что о чем еще и говорить? Если же нет, тогда нам придется исследовать по-другому. А теперь давай завершим наше рассмотрение так, как мы намечали: раз мы сперва взялись наблюдать что-то крупное, в чем осуществляется справедливость, нам уже легче заметить ее в отдельном человеке. Крупным считали мы государство, и его мы устроили как могли лучше, зная наверное, что в совершенном государстве должна быть осуществлена справедливость. То, что мы там обнаружили, давай перенесем наотдельного человека. Если совпадет — очень хорошо;если же в отдельном человеке обнаружится что-то иное, мы проверим это, снова обратившись к государству. Возможно, что этим сближением, словно трением двух кусков дерева друг о друга, мы заставим ярко вспыхнуть справедливость, а раз она станет явной, мы прочно утвердим ее в нас самих.","Ты указываешь верный путь, так и надо поступить.",1
279,"Нечего сказать, простой предмет исследования подвернулся нам опять, дорогой мой! Дело идет о душе: имеются ли в ней эти три вида или нет?","По-моему, это не так просто; ведь, пожалуй, правильно говорится: ""прекрасное — трудно"".",1
280,"По-видимому. И будь уверен, Главкон, что, по моему мнению, теми приемами, которыми мы пользовались сейчас в своих рассуждениях, нам никогда не охватить этого предмета с достаточной точностью — к нему ведет путь гораздо более долгий и длинный; впрочем, пожалуй, он достоин того, о чем мы говорили и что мы рассматривали ранее.",Так разве этого не довольно? Для меня сейчас и это было бы хорошо.,1
281,А для меня и более того.,Так не унывай и приступи к рассмотрению.,1
282,"Попытаемся следующим образом определить, тождественны ли эти свойства или же между ними есть различие...",Как же мы станем определять?,1
283,"Следовательно, ни один из приводимых примеров не смутит нас и не переубедит, будто что-нибудь, оставаясь самим собой, станет вдруг испытывать или совершать нечто противоположное своей тождественности или направленное против нее.",Меня-то в этом не убедят.,1
284,"Но все же, чтобы нам не пришлось разбирать всевозможные недоумения подобного рода и длинно доказывать их неправомерность, давай допустим, что все это так, и двинемся дальше, условившись, что если когда-либо дело обернется иначе, то отпадут и все следствия, выведенные нами из этого положения.","Да, так надо сделать.",1
285,"И еще дальше: испытывать жажду и голод п д вообще вожделения, а также желать, хотеть — все это разве ты не отнесешь к тем видам, о которых у нас только что была речь? Разве ты не скажешь, например, что душа вожделеющего человека стремится к предмету своего вожделения или что она привлекает к себе то, чем хочет обладать? Или другой пример: не скажешь ли ты, что, поскольку ей хочется получить что-нибудь, она кивает в знак одобрения сама себе, словно ее об этом спрашивают, и стремится осуществить свое желание?","Да, я скажу именно так.",1
286,"Поскольку первое — это жажда, то возникает ли в душе человека еще и дополнительное желание, кроме нами указанного? Иначе говоря, будет ли это желанием пить непременно горячее или холодное, много или мало — словом, пить какой-нибудь определенный напиток? Если человеку жарко, не прибавится ли к его жажде желание чего-нибудь холодного, а если ему холодно, то — горячего? Если налицо большой выбор напитков, жажда принимает различные оттенки: начинают желать многого; если же это просто жажда, то — немногого. Но жажда сама по себе никогда не будет вожделением к чему-нибудь другому, кроме естественного желания пить, а голод сам по себе — кроме естественного желания есть.","Таким образом, каждое вожделение не само по себе направлено лишь на то, что в каждом отдельном случае отвечает его природе. Вожделение же к такому-то и такому-то качеству—это нечто привходящее.",1
287,"Однако как бы кто-нибудь, воспользовавшись нашей неосмотрительностью, не смутил нас, указав, что никто не желает просто питья, но обязательно пригодного питья, и не просто пищи, но пригодной пищи. Ведь все вожделеют именно хорошего. Раз жажда есть вожделение, она должна быть желанием пригодного питья или чего бы то ни было другого, на что направлено вожделение. Так же и во всем остальном.","Пожалуй, это было бы дельным возражением.",1
288,И некогда бывшее большим — некогда бывшего меньшим? И будущее большим — будущего меньшим?,Но как же иначе?,1
289,"Вот и считай, что я тогда как раз это и хотел сказать, если теперь ты понял, что значит качественное соотношение вещей: сами по себе они соотносятся только с самими собой, взятые же в соотношении с другими вещами, они принимают качества этих вещей. Но я не хочу этим сказать, что они имеют сходство с тем, с чем соотносятся, — например, будто знание здоровья и болезней становится от этого здоровым или болезненным, а знание зла и блага — плохим или хорошим. Знание не становится тем же, что его предмет, оно соотносится со свойствами предмета — в данном случае со свойством здоровья или болезненности — и это свойство его определяет: это и заставляет называть такое знание не просто знанием, но искусством врачевания — по его привходящему свойству.","Я понял, и, по-моему, дело обстоит именно так.",1
290,"Ну, а жажду разве не отнесешь ты к таким вещам, которые в том, что они есть, соотносятся с чем-то другим? В данном случае — как жажда?","Да, я взял бы ее в ее отношении к питью.",1
291,"Можем ли мы сказать, что люди, испытывающие жажду, иной раз все же отказываются пить?",Даже очень многие и весьма часто.,1
292,"Мы не без основания признаем двойственными и отличными друг от друга эти начала: одно из них, с помощью которого человек способен рассуждать, мы назовем разумным началом души, а второе, из-за которого человек влюбляется, испытывает голод и жажду и бывает охвачен другими вожделениями, мы назовем началом неразумным и вожделеющим, близким другом всякого рода удовлетворения и наслаждений.","Признать это было бы не только обоснованно, но и естественно.",1
293,"Так пусть у нас будут разграничены эти два присущих душе вида. Что же касается ярости духа, отчего мы и бываем гневливы, то составляет ли это третий вид, или вид этот однороден с одним из тех двух?","Пожалуй, он однороден со вторым, то есть вожделеющим, видом.",1
294,"Мне как-то рассказывали, и я верю этому, что Леонтий, сын Аглайона, возвращаясь из Пирея, по дороге, снаружи под северной стеной, заметил, что там у палача валяются трупы. Ему и посмотреть хотелось, и вместе с тем было противно, и он отворачивался. Но сколько он ни боролся и ни закрывался, вожделение оказалось сильнее — он подбежал к трупам, широко раскрыв глаза и восклицая: ""Вот вам, злополучные, насыщайтесь этим прекрасным зрелищем!""",Я и сам слышал об этом.,1
295,"Да и на многих других примерах мы замечаем, как человек, одолеваемый вожделениями вопреки способности рассуждать, бранит сам себя и гневается на этих поселившихся в нем насильников. Гнев такого человека становится союзником его разуму в этой распре, которая идет словно лишь между двумя сторонами. А чтобы гнев был заодно с желаниями, когда разум налагает запрет, такого случая, думаю я, ты никогда не наблюдал, признайся, ни на самом себе, ни на других.","Не наблюдал, клянусь Зевсом.",1
296,"Ну, а когда он считает, что с ним поступают несправедливо, он вскипает, раздражается и становится союзником того, что ему представляется справедливым, и ради этого он готов переносить голод, стужу и все подобные этим муки, лишь бы победить; он не откажется от своих благородных стремлений — либо добиться своего, либо умереть, разве что его смирят доводы собственного рассудка, который отзовет его наподобие того, как пастух отзывает свою собаку.","Твое сравнение очень удачно. Ведь в нашем государстве мы поручили его защитникам служить, как сторожевым собакам, а правителям — как пастухам,",1
297,"Так отличается ли оно от него, или это только некий вид разумного начала, и выходит, что в душе существуют всего два вида начал: разумное и вожделеющее? Или как в государстве три рода начал, его составляющих: деловое, защитное, совещательное, так и в душе есть тоже третье начало — яростный дух? По природе своей оно служит защитником разумного начала, если не испорчено дурным воспитанием.",Непременно должно быть и третье начало.,1
298,"Да, если только обнаружится, что оно не совпадает с разумным началом, подобно тому как выяснилось его отличие от начала вожделеющего.","Это нетрудно обнаружить. На примере малых детей можно видеть, что они, чуть родятся, беспрестанно бывают исполнены гнева, между тем многие из них, па мой взгляд, вовсе непричастны способности рассуждать, а большинство становится причастным ей очень поздно.",1
299,"И справедливым — я думаю, Главкон, мы признаем это — отдельный человек бывает таким же образом, каким осуществляется справедливость в государстве.",Это тоже совершенно необходимо.,1
300,"Но ведь мы не забыли, что государство у нас было признано справедливым в том случае, если каждое из трех его сословий выполняет в нем свое дело.","Мне кажется, не забыли.",1
